track_name,artist,album,release_date,popularity,spotify_url,id,duration_min,nconst,primaryName,birthYear,deathYear,primaryProfession,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
We Don'T Talk Anymore (Feat. Selena Gomez),Charlie Puth,Nine Track Mind,2016-01-29,80,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj,06KyNuuMOX1ROXRhj787tj,3.628433333333333,nm7202853,Charlie Puth,1991.0,,"music_artist,composer,actor",tt6857166,movie,Book Club,Book Club,0.0,2018.0,,104.0,"Comedy,Drama,Romance",6.1,33844
We Don'T Talk Anymore (Feat. Selena Gomez),Charlie Puth,Nine Track Mind,2016-01-29,80,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj,06KyNuuMOX1ROXRhj787tj,3.628433333333333,nm7202853,Charlie Puth,1991.0,,"music_artist,composer,actor",tt1911658,movie,Penguins Of Madagascar,Penguins Of Madagascar,0.0,2014.0,,92.0,"Action,Adventure,Animation",6.6,108783
Positions,Ariana Grande,Positions,2020-10-30,80,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,35mvY5S1H3J2QZyna3TFe0,2.8720666666666665,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt1262426,movie,Wicked,Wicked: Part I,0.0,2024.0,,160.0,"Fantasy,Musical,Romance",7.5,158547
Positions,Ariana Grande,Positions,2020-10-30,80,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,35mvY5S1H3J2QZyna3TFe0,2.8720666666666665,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt11286314,movie,Don'T Look Up,Don'T Look Up,0.0,2021.0,,138.0,"Comedy,Drama,Sci-Fi",7.2,638898
Positions,Ariana Grande,Positions,2020-10-30,80,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,35mvY5S1H3J2QZyna3TFe0,2.8720666666666665,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt1604099,tvseries,Victorious,Victorious,0.0,2010.0,2013.0,30.0,"Comedy,Drama,Family",7.0,31792
Positions,Ariana Grande,Positions,2020-10-30,80,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,35mvY5S1H3J2QZyna3TFe0,2.8720666666666665,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt2487090,tvseries,Sam & Cat,Sam & Cat,0.0,2013.0,2014.0,30.0,"Comedy,Drama,Family",5.7,12858
Doin' Time,Lana Del Rey,Norman Fucking Rockwell!,2019-08-30,80,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX,0Oqc0kKFsQ6MhFOLBNZIGX,3.369866666666667,nm4787894,Lana Del Rey,1985.0,,"music_artist,actress,composer",tt1343092,movie,The Great Gatsby,The Great Gatsby,0.0,2013.0,,143.0,"Drama,Romance",7.2,619859
Doin' Time,Lana Del Rey,Norman Fucking Rockwell!,2019-08-30,80,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX,0Oqc0kKFsQ6MhFOLBNZIGX,3.369866666666667,nm4787894,Lana Del Rey,1985.0,,"music_artist,actress,composer",tt5033998,movie,Charlie'S Angels,Charlie'S Angels,0.0,2019.0,,118.0,"Action,Adventure,Comedy",5.0,82769
Doin' Time,Lana Del Rey,Norman Fucking Rockwell!,2019-08-30,80,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX,0Oqc0kKFsQ6MhFOLBNZIGX,3.369866666666667,nm4787894,Lana Del Rey,1985.0,,"music_artist,actress,composer",tt1126590,movie,Big Eyes,Big Eyes,0.0,2014.0,,106.0,"Biography,Crime,Drama",7.0,102309
Doin' Time,Lana Del Rey,Norman Fucking Rockwell!,2019-08-30,80,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX,0Oqc0kKFsQ6MhFOLBNZIGX,3.369866666666667,nm4787894,Lana Del Rey,1985.0,,"music_artist,actress,composer",tt1587310,movie,Maleficent,Maleficent,0.0,2014.0,,97.0,"Action,Adventure,Drama",6.9,413112
Boyfriend (With Social House),Ariana Grande,Boyfriend,2019-08-02,80,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,0Ryd8975WihbObpp5cPW1t,3.101766666666667,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt1262426,movie,Wicked,Wicked: Part I,0.0,2024.0,,160.0,"Fantasy,Musical,Romance",7.5,158547
Boyfriend (With Social House),Ariana Grande,Boyfriend,2019-08-02,80,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,0Ryd8975WihbObpp5cPW1t,3.101766666666667,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt11286314,movie,Don'T Look Up,Don'T Look Up,0.0,2021.0,,138.0,"Comedy,Drama,Sci-Fi",7.2,638898
Boyfriend (With Social House),Ariana Grande,Boyfriend,2019-08-02,80,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,0Ryd8975WihbObpp5cPW1t,3.101766666666667,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt1604099,tvseries,Victorious,Victorious,0.0,2010.0,2013.0,30.0,"Comedy,Drama,Family",7.0,31792
Boyfriend (With Social House),Ariana Grande,Boyfriend,2019-08-02,80,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,0Ryd8975WihbObpp5cPW1t,3.101766666666667,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt2487090,tvseries,Sam & Cat,Sam & Cat,0.0,2013.0,2014.0,30.0,"Comedy,Drama,Family",5.7,12858
Sk8Er Boi,Avril Lavigne,Let Go,2002-06-04,80,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,00Mb3DuaIH1kjrwOku9CGU,3.4,nm1245099,Avril Lavigne,1984.0,,"music_artist,actress,composer",tt0460792,movie,Fast Food Nation,Fast Food Nation,0.0,2006.0,,116.0,"Comedy,Drama",6.3,25698
Sk8Er Boi,Avril Lavigne,Let Go,2002-06-04,80,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,00Mb3DuaIH1kjrwOku9CGU,3.4,nm1245099,Avril Lavigne,1984.0,,"music_artist,actress,composer",tt0327084,movie,Over The Hedge,Over The Hedge,0.0,2006.0,,83.0,"Adventure,Animation,Comedy",6.7,196164
Sk8Er Boi,Avril Lavigne,Let Go,2002-06-04,80,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,00Mb3DuaIH1kjrwOku9CGU,3.4,nm1245099,Avril Lavigne,1984.0,,"music_artist,actress,composer",tt0315327,movie,Bruce Almighty,Bruce Almighty,0.0,2003.0,,101.0,"Comedy,Fantasy",6.8,452094
Sk8Er Boi,Avril Lavigne,Let Go,2002-06-04,80,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,00Mb3DuaIH1kjrwOku9CGU,3.4,nm1245099,Avril Lavigne,1984.0,,"music_artist,actress,composer",tt1014759,movie,Alice In Wonderland,Alice In Wonderland,0.0,2010.0,,108.0,"Adventure,Family,Fantasy",6.4,454916
Good For You,Selena Gomez,Revival (Deluxe),2015-10-09,80,https://open.spotify.com/track/5xdVqHtFS0eLuNp4Z8Wbpa,5xdVqHtFS0eLuNp4Z8Wbpa,3.688,nm1411125,Selena Gomez,1992.0,,"music_artist,actress,producer",tt2101441,movie,Spring Breakers,Spring Breakers,0.0,2012.0,,94.0,"Crime,Drama,Thriller",5.3,151924
Good For You,Selena Gomez,Revival (Deluxe),2015-10-09,80,https://open.spotify.com/track/5xdVqHtFS0eLuNp4Z8Wbpa,5xdVqHtFS0eLuNp4Z8Wbpa,3.688,nm1411125,Selena Gomez,1992.0,,"music_artist,actress,producer",tt20221436,movie,Emilia Pérez,Emilia Pérez,0.0,2024.0,,132.0,"Comedy,Crime,Drama",5.4,88408
Good For You,Selena Gomez,Revival (Deluxe),2015-10-09,80,https://open.spotify.com/track/5xdVqHtFS0eLuNp4Z8Wbpa,5xdVqHtFS0eLuNp4Z8Wbpa,3.688,nm1411125,Selena Gomez,1992.0,,"music_artist,actress,producer",tt1067774,movie,Monte Carlo,Monte Carlo,0.0,2011.0,,109.0,"Adventure,Comedy,Family",5.8,50568
Good For You,Selena Gomez,Revival (Deluxe),2015-10-09,80,https://open.spotify.com/track/5xdVqHtFS0eLuNp4Z8Wbpa,5xdVqHtFS0eLuNp4Z8Wbpa,3.688,nm1411125,Selena Gomez,1992.0,,"music_artist,actress,producer",tt0837562,movie,Hotel Transylvania,Hotel Transylvania,0.0,2012.0,,91.0,"Animation,Comedy,Family",7.0,296618
Lean Wit Me,Juice Wrld,Goodbye & Good Riddance,2018-12-10,80,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa,3oDkdAySo1VQQG0ptV7uwa,2.92925,nm9954423,Juice Wrld,1998.0,2019.0,"music_artist,music_department,actor",tt4633694,movie,Spider-Man: Into The Spider-Verse,Spider-Man: Into The Spider-Verse,0.0,2018.0,,117.0,"Action,Adventure,Animation",8.4,728484
Lean Wit Me,Juice Wrld,Goodbye & Good Riddance,2018-12-10,80,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa,3oDkdAySo1VQQG0ptV7uwa,2.92925,nm9954423,Juice Wrld,1998.0,2019.0,"music_artist,music_department,actor",tt1837492,tvseries,13 Reasons Why,13 Reasons Why,0.0,2017.0,2020.0,60.0,"Drama,Mystery,Thriller",7.4,328102
This Is What You Came For,Calvin Harris,This Is What You Came For,2016-04-29,80,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,3.7026666666666666,nm2744713,Calvin Harris,1984.0,,"music_artist,composer,actor",tt4769836,movie,The Do-Over,The Do-Over,0.0,2016.0,,108.0,"Action,Adventure,Comedy",5.7,53834
This Is What You Came For,Calvin Harris,This Is What You Came For,2016-04-29,80,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,3.7026666666666666,nm2744713,Calvin Harris,1984.0,,"music_artist,composer,actor",tt0448115,movie,Shazam!,Shazam!,0.0,2019.0,,132.0,"Action,Adventure,Comedy",7.0,399788
This Is What You Came For,Calvin Harris,This Is What You Came For,2016-04-29,80,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,3.7026666666666666,nm2744713,Calvin Harris,1984.0,,"music_artist,composer,actor",tt4630562,movie,The Fate Of The Furious,The Fate Of The Furious,0.0,2017.0,,136.0,"Action,Crime,Thriller",6.6,263994
